"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","time_estern","uvi","mepaqi","pm1","time_estern"
"61","Hillsboro, Oregon",26,78,"45.528501","-122.972398","http://aqicn.org/city/usa/oregon/hillsboro/","o3","2017-03-24 10:00:00","-08:00",8.37,87,1011,8,1.5,12.6,8,3.9,25.6,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"62","John Day, Oregon",11,79,"44.417999","-118.951302","http://aqicn.org/city/usa/oregon/john-day/","pm10","2017-03-24 10:00:00","-08:00",6.15,75,1013,11,NA,NA,10,NA,NA,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"63","Klamath Falls, Oregon",9,80,"42.190296","-121.731369","http://aqicn.org/city/usa/oregon/klamath-falls/","pm10","2017-03-24 10:00:00","-08:00",3.4,62,25.71,9,NA,NA,6,NA,NA,13.5,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"64","La Grande, Oregon",14,81,"45.339","-118.095206","http://aqicn.org/city/usa/oregon/la-grande/","pm10","2017-03-24 10:00:00","-08:00",5.9,85,27.01,14,NA,NA,12,NA,NA,9,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"65","Lakeview, Oregon",10,82,"42.189215","-120.353969","http://aqicn.org/city/usa/oregon/lakeview/","pm25","2017-03-24 10:00:00","-08:00",4.8,100,25.11,9,NA,NA,10,NA,NA,14.1,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"66","Medford, Oregon",11,84,"42.31411","-122.87923","http://aqicn.org/city/usa/oregon/medford/","pm10","2017-03-24 10:00:00","-08:00",27.555,100,1023.065,11,NA,NA,17,NA,NA,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"67","Pendleton, Oregon",20,85,"45.652231","-118.823033","http://aqicn.org/city/usa/oregon/pendleton/","pm25","2017-03-24 10:00:00","-08:00",7.11,93,28.77,12,NA,NA,20,NA,28,0.4,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"68","Portland, Oregon",8,86,"45.496641","-122.602877","http://aqicn.org/city/usa/oregon/portland/","pm25","2017-03-24 10:00:00","-08:00",7.8,NA,29.62,8,1.5,7.7,8,3.9,0.1,6.6,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"69","Prineville, Oregon",11,87,"44.299787","-120.844773","http://aqicn.org/city/usa/oregon/prineville/","pm10","2017-03-24 10:00:00","-08:00",7.9,58,26.87,11,NA,NA,9,NA,NA,8.6,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"70","Roseburg, Oregon",11,88,"43.2266","-123.36479","http://aqicn.org/city/usa/oregon/roseburg/","pm10","2017-03-24 10:00:00","-08:00",4.265,78,1012.5,11,NA,NA,7,NA,NA,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"71","Salem, Oregon",26,89,"44.943114","-123.005934","http://aqicn.org/city/usa/oregon/salem/","o3","2017-03-24 10:00:00","-08:00",8.15,93,1011,8,NA,NA,9,NA,25.6,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"72","Shady Cove, Oregon",16,90,"42.623225","-122.810158","http://aqicn.org/city/usa/oregon/shady-cove/","pm25","2017-03-24 10:00:00","-08:00",4.265,78,1012.5,12,NA,NA,16,NA,NA,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"73","Sisters, Oregon",NA,92,"44.2921","-121.5555","http://aqicn.org/city/usa/oregon/sisters/","","2017-03-22 08:00:00","-08:00",6.01,73,NA,1,NA,NA,87,NA,NA,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"74","Sweet Home, Oregon",8,93,"44.3958","-122.7305","http://aqicn.org/city/usa/oregon/sweet-home/","pm25","2017-03-24 10:00:00","-08:00",8.61,87,1012,7,NA,NA,8,NA,NA,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"75","The Dalles, Oregon",25,94,"45.602419","-121.203387","http://aqicn.org/city/usa/oregon/the-dalles/","pm25","2017-03-24 10:00:00","-08:00",8.15,93,1011,15,NA,NA,25,NA,NA,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
