"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","uvi","pol","mepaqi","pm1","time_estern"
"6181","Gent",NA,6981,51.058078758733,3.7282544050241,"http://aqicn.org/city/belgium/fla/gent/","","2016-05-13 08:00:00","+0100",21,43,1018.57,43,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6182","Destelbergen",50,6982,3.77526239002104,51.0612776998801,"http://aqicn.org/city/belgium/fla/destelbergen/","pm25","2017-03-27 21:00:00","+01:00",14.655,47.5,1020,21,NA,8.3,50,NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6183","Sint-kruiswinkel",63,6983,51.1501360922306,3.80873543079248,"http://aqicn.org/city/belgium/fla/sint-kruiswinkel/","pm25","2017-03-27 21:00:00","+01:00",14.655,47.5,1020,31,NA,37.5,63,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6184","Berendrecht",50,6985,51.3487952941703,4.33970994755431,"http://aqicn.org/city/belgium/fla/berendrecht/","pm25","2017-03-27 21:00:00","+01:00",14.655,47.5,1020,NA,0.6,27,50,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6185","Hoboken",42,6986,51.1702980406645,4.34100506499574,"http://aqicn.org/city/belgium/fla/hoboken/","pm25","2017-03-27 21:00:00","+01:00",14.655,47.5,1020,20,1.1,18.3,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6186","Antwerpen (luchtbal)",57,6987,51.2609897097004,4.42439900737739,"http://aqicn.org/city/belgium/fla/antwerpen-luchtbal/","pm25","2017-03-27 21:00:00","+01:00",14.655,47.5,1020,30,NA,28.4,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6187","Dessel",42,6988,51.2336522083913,5.16397884684722,"http://aqicn.org/city/belgium/fla/dessel/","pm25","2017-03-27 21:00:00","+01:00",15.025,32,1038.32,24,1.1,12.8,42,NA,22.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6188","Borgerhout",55,6989,51.2096625331407,4.43182104741115,"http://aqicn.org/city/belgium/fla/borgerhout/","pm25","2017-03-27 21:00:00","+01:00",14.655,47.5,1020,26,1.1,38,55,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6189","Borgerhout (straatkant)",55,6990,51.2095187338142,4.43179223123474,"http://aqicn.org/city/belgium/fla/borgerhout-straatkant/","pm25","2017-03-27 21:00:00","+01:00",14.655,47.5,1020,30,NA,46.7,55,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6190","Schoten",59,6991,51.2521034140774,4.49136202838409,"http://aqicn.org/city/belgium/fla/schoten/","pm25","2017-03-27 21:00:00","+01:00",14.655,47.5,1020,25,NA,9.6,59,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
